order_date,customer_id,product_id,category,final_amount,review_text,sentiment,customer_tenure_days,is_festival_season,delivery_days
2025-01-01,CUST_1001,PROD_2001,Electronics,2450.50,Excellent product and fast delivery,1,420,0,2
2025-01-02,CUST_1002,PROD_2002,Fashion,899.00,Good quality and worth the price,1,280,0,3
2025-01-03,CUST_1003,PROD_2003,Home,1350.75,Very poor quality and disappointing,0,130,0,5
2025-01-04,CUST_1004,PROD_2004,Beauty,499.99,Amazing fragrance and packaging,1,560,0,2
2025-01-05,CUST_1005,PROD_2005,Groceries,320.40,Items were damaged and late,0,90,0,6
2025-01-06,CUST_1006,PROD_2006,Electronics,7899.00,Superb performance and design,1,670,0,2
2025-01-07,CUST_1007,PROD_2007,Fashion,1299.00,Not worth the money,0,210,0,4
2025-01-08,CUST_1008,PROD_2008,Home,2200.00,Very useful product for daily use,1,340,0,3
2025-01-09,CUST_1009,PROD_2009,Beauty,650.00,Terrible experience with this item,0,150,0,5
2025-01-10,CUST_1010,PROD_2010,Groceries,410.25,Fresh items and quick delivery,1,720,0,1
2025-01-11,CUST_1011,PROD_2011,Electronics,5400.00,Works perfectly and looks premium,1,480,0,2
2025-01-12,CUST_1012,PROD_2012,Fashion,999.00,Size was wrong and fabric is bad,0,110,0,5
2025-01-13,CUST_1013,PROD_2013,Home,1800.00,Really good quality product,1,390,0,3
2025-01-14,CUST_1014,PROD_2014,Beauty,799.00,Packaging was broken and leaking,0,250,0,4
2025-01-15,CUST_1015,PROD_2015,Groceries,275.00,Affordable and good freshness,1,610,0,2
2025-01-16,CUST_1016,PROD_2016,Electronics,6200.50,Average product not as expected,0,175,0,4
2025-01-17,CUST_1017,PROD_2017,Fashion,1499.99,Beautiful design and perfect fit,1,530,0,2
2025-01-18,CUST_1018,PROD_2018,Home,2400.00,Bad build quality and scratches,0,145,0,5
2025-01-19,CUST_1019,PROD_2019,Beauty,350.00,Very nice and skin friendly,1,455,0,2
2025-01-20,CUST_1020,PROD_2020,Groceries,510.80,Order arrived late and stale,0,100,0,6
2025-01-21,CUST_1021,PROD_2021,Electronics,8600.00,Fantastic device and smooth usage,1,800,0,1
2025-01-22,CUST_1022,PROD_2022,Fashion,1099.50,Material feels cheap and poor,0,190,0,4
2025-01-23,CUST_1023,PROD_2023,Home,1999.00,Easy to use and very practical,1,360,0,2
2025-01-24,CUST_1024,PROD_2024,Beauty,699.00,The product caused irritation,0,220,0,5
2025-01-25,CUST_1025,PROD_2025,Groceries,290.00,Good value and neat packaging,1,510,0,2
2025-01-26,CUST_1026,PROD_2026,Electronics,4300.00,Sound quality is excellent,1,640,1,2
2025-01-27,CUST_1027,PROD_2027,Fashion,1590.00,Color faded after one wash,0,125,1,5
2025-01-28,CUST_1028,PROD_2028,Home,2750.00,Useful and sturdy product,1,470,1,3
2025-01-29,CUST_1029,PROD_2029,Beauty,899.99,Not original product I think,0,160,1,4
2025-01-30,CUST_1030,PROD_2030,Groceries,450.00,Fresh and neatly packed items,1,700,1,2
2025-01-31,CUST_1031,PROD_2031,Electronics,9100.00,Very advanced and worth buying,1,870,1,1
2025-02-01,CUST_1032,PROD_2032,Fashion,1199.00,Stitching quality is very bad,0,140,1,5
2025-02-02,CUST_1033,PROD_2033,Home,2100.00,Looks elegant and works well,1,390,1,3
2025-02-03,CUST_1034,PROD_2034,Beauty,560.00,Fragrance did not last long,0,260,1,4
2025-02-04,CUST_1035,PROD_2035,Groceries,380.00,Good groceries and timely delivery,1,610,1,2
2025-02-05,CUST_1036,PROD_2036,Electronics,4800.00,Stopped working after two days,0,95,1,6
2025-02-06,CUST_1037,PROD_2037,Fashion,1399.00,Excellent fit and nice color,1,550,1,2
2025-02-07,CUST_1038,PROD_2038,Home,2300.00,Cheap material and poor finish,0,175,1,5
2025-02-08,CUST_1039,PROD_2039,Beauty,620.00,Very gentle and effective product,1,430,1,2
2025-02-09,CUST_1040,PROD_2040,Groceries,340.00,Received wrong items and delay,0,120,1,6
2025-02-10,CUST_1041,PROD_2041,Electronics,7600.00,Fast performance and excellent battery,1,790,1,1
2025-02-11,CUST_1042,PROD_2042,Fashion,950.00,Poor stitching and uncomfortable,0,180,1,4
2025-02-12,CUST_1043,PROD_2043,Home,1890.00,Nice quality and easy installation,1,500,1,3
2025-02-13,CUST_1044,PROD_2044,Beauty,720.00,Leaked inside the package,0,150,1,5
2025-02-14,CUST_1045,PROD_2045,Groceries,430.00,Fresh products and fair pricing,1,650,1,2
2025-02-15,CUST_1046,PROD_2046,Electronics,8200.00,Display quality is amazing,1,845,1,1
2025-02-16,CUST_1047,PROD_2047,Fashion,1250.00,The cloth feels rough and bad,0,130,1,4
2025-02-17,CUST_1048,PROD_2048,Home,2600.00,Perfect for my home and useful,1,475,1,3
2025-02-18,CUST_1049,PROD_2049,Beauty,580.00,This was a disappointing purchase,0,170,1,5
2025-02-19,CUST_1050,PROD_2050,Groceries,390.00,Very good quality groceries,1,720,1,2
